y,d_sigma_dy_GLC,d_sigma_dy_BG
-8.5679,nan,nan
-8.48222,5.97602e-10,7.43481e-10
-8.39654,5.76682e-07,7.16079e-07
-8.31086,2.71421e-05,3.36378e-05
-8.22518,0.000371987,0.000460095
-8.1395,0.00259732,0.00320581
-8.05382,0.0118479,0.0145908
-7.96814,0.0403037,0.0495136
-7.88247,0.110628,0.135549
-7.79679,0.257791,0.31496
-7.71111,0.52803,0.643153
-7.62543,0.974701,1.18336
-7.53975,1.65189,1.99874
-7.45407,2.60738,3.14388
-7.36839,3.87652,4.65766
-7.28271,5.47827,6.5589
-7.19703,7.41384,8.84516
-7.11135,9.66766,11.4944
-7.02568,12.2101,14.4688
-6.94,15.0015,17.7191
-6.85432,17.9955,21.1898
-6.76864,21.1435,24.8231
-6.68296,24.3973,28.5628
-6.59728,27.7112,32.3564
-6.5116,31.044,36.1571
-6.42592,34.3596,39.9243
-6.34024,37.6273,43.6241
-6.25457,40.822,47.229
-6.16889,43.9236,50.7177
-6.08321,46.9169,54.0739
-5.99753,49.7907,57.2864
-5.91185,52.5375,60.3479
-5.82617,55.1532,63.2549
-5.74049,57.6365,66.0069
-5.65481,59.9885,68.606
-5.56913,62.2126,71.0568
-5.48345,64.314,73.366
-5.39778,66.2998,75.542
-5.3121,68.1786,77.5951
-5.22642,69.9599,79.5363
-5.14074,71.6545,81.3781
-5.05506,73.2734,83.1329
-4.96938,74.8279,84.8139
-4.8837,76.3291,86.4335
-4.79802,77.7876,88.0038
-4.71234,79.2131,89.5358
-4.62666,80.6144,91.0396
-4.54099,81.9993,92.5238
-4.45531,83.3738,93.9956
-4.36963,84.7432,95.4606
-4.28395,86.111,96.9233
-4.19827,87.4798,98.3865
-4.11259,88.8512,99.852
-4.02691,90.2254,101.32
-3.94123,91.6022,102.792
-3.85555,92.9804,104.264
-3.76987,94.3587,105.737
-3.6842,95.7349,107.208
-3.59852,97.1067,108.674
-3.51284,98.4719,110.134
-3.42716,99.8278,111.583
-3.34148,101.172,113.021
-3.2558,102.502,114.443
-3.17012,103.815,115.847
-3.08444,105.109,117.231
-2.99876,106.381,118.592
-2.91309,107.631,119.929
-2.82741,108.856,121.239
-2.74173,110.053,122.52
-2.65605,111.223,123.771
-2.57037,112.363,124.99
-2.48469,113.472,126.177
-2.39901,114.549,127.329
-2.31333,115.593,128.446
-2.22765,116.603,129.526
-2.14197,117.578,130.57
-2.0563,118.519,131.576
-1.97062,119.423,132.543
-1.88494,120.291,133.472
-1.79926,121.123,134.361
-1.71358,121.917,135.211
-1.6279,122.674,136.02
-1.54222,123.393,136.789
-1.45654,124.074,137.518
-1.37086,124.717,138.205
-1.28518,125.322,138.852
-1.19951,125.888,139.457
-1.11383,126.415,140.021
-1.02815,126.904,140.544
-0.942469,127.354,141.025
-0.85679,127.765,141.465
-0.771111,128.137,141.862
-0.685432,128.47,142.218
-0.599753,128.764,142.533
-0.514074,129.019,142.805
-0.428395,129.234,143.036
-0.342716,129.411,143.224
-0.257037,129.548,143.371
-0.171358,129.646,143.476
-0.085679,129.705,143.539
0,129.725,143.56
0.085679,129.705,143.539
0.171358,129.646,143.476
0.257037,129.548,143.371
0.342716,129.411,143.224
0.428395,129.234,143.036
0.514074,129.019,142.805
0.599753,128.764,142.533
0.685432,128.47,142.218
0.771111,128.137,141.862
0.85679,127.765,141.465
0.942469,127.354,141.025
1.02815,126.904,140.544
1.11383,126.415,140.021
1.19951,125.888,139.457
1.28518,125.322,138.852
1.37086,124.717,138.205
1.45654,124.074,137.518
1.54222,123.393,136.789
1.6279,122.674,136.02
1.71358,121.917,135.211
1.79926,121.123,134.361
1.88494,120.291,133.472
1.97062,119.423,132.543
2.0563,118.519,131.576
2.14197,117.578,130.57
2.22765,116.603,129.526
