r,N
0.0001,2.87727e-08
0.000100231,2.89056e-08
0.000100462,2.9039e-08
0.000100693,2.91731e-08
0.000100925,2.93078e-08
0.000101158,2.94431e-08
0.000101391,2.9579e-08
0.000101625,2.97156e-08
0.00010186,2.98528e-08
0.000102094,2.99906e-08
0.00010233,3.0129e-08
0.000102566,3.02681e-08
0.000102802,3.04079e-08
0.000103039,3.05483e-08
0.000103277,3.06893e-08
0.000103515,3.0831e-08
0.000103754,3.09733e-08
0.000103993,3.11163e-08
0.000104233,3.126e-08
0.000104473,3.14043e-08
0.000104714,3.15493e-08
0.000104955,3.16949e-08
0.000105197,3.18412e-08
0.00010544,3.19882e-08
0.000105683,3.21359e-08
0.000105927,3.22843e-08
0.000106171,3.24333e-08
0.000106416,3.25831e-08
0.000106661,3.27335e-08
0.000106907,3.28846e-08
0.000107153,3.30364e-08
0.0001074,3.3189e-08
0.000107648,3.33422e-08
0.000107896,3.34961e-08
0.000108145,3.36508e-08
0.000108394,3.38061e-08
0.000108644,3.39622e-08
0.000108895,3.4119e-08
0.000109146,3.42765e-08
0.000109398,3.44347e-08
0.00010965,3.45937e-08
0.000109903,3.47534e-08
0.000110156,3.49139e-08
0.00011041,3.50751e-08
0.000110665,3.5237e-08
0.00011092,3.53997e-08
0.000111176,3.55631e-08
0.000111432,3.57273e-08
0.000111689,3.58922e-08
0.000111946,3.60579e-08
0.000112204,3.62244e-08
0.000112463,3.63916e-08
0.000112722,3.65597e-08
0.000112982,3.67284e-08
0.000113243,3.6898e-08
0.000113504,3.70684e-08
0.000113766,3.72395e-08
0.000114028,3.74114e-08
0.000114291,3.75841e-08
0.000114554,3.77576e-08
0.000114819,3.7932e-08
0.000115083,3.81071e-08
0.000115349,3.8283e-08
0.000115615,3.84598e-08
0.000115881,3.86373e-08
0.000116148,3.88157e-08
0.000116416,3.89949e-08
0.000116685,3.91749e-08
0.000116954,3.93558e-08
0.000117223,3.95375e-08
0.000117494,3.972e-08
0.000117764,3.99034e-08
0.000118036,4.00876e-08
0.000118308,4.02727e-08
0.000118581,4.04586e-08
0.000118854,4.06454e-08
0.000119128,4.0833e-08
0.000119403,4.10216e-08
0.000119678,4.12109e-08
0.000119954,4.14012e-08
0.000120231,4.15923e-08
0.000120508,4.17844e-08
0.000120786,4.19773e-08
0.000121064,4.21711e-08
0.000121344,4.23657e-08
0.000121623,4.25613e-08
0.000121904,4.27578e-08
0.000122185,4.29552e-08
0.000122467,4.31535e-08
0.000122749,4.33528e-08
0.000123032,4.35529e-08
0.000123316,4.3754e-08
0.0001236,4.3956e-08
0.000123885,4.41589e-08
0.000124171,4.43628e-08
0.000124457,4.45676e-08
0.000124744,4.47734e-08
0.000125031,4.49801e-08
0.00012532,4.51877e-08
0.000125609,4.53963e-08
0.000125898,4.56059e-08
0.000126189,4.58165e-08
0.00012648,4.6028e-08
0.000126771,4.62405e-08
0.000127063,4.6454e-08
0.000127356,4.66684e-08
0.00012765,4.68839e-08
0.000127944,4.71003e-08
0.000128239,4.73178e-08
0.000128535,4.75362e-08
0.000128831,4.77557e-08
0.000129129,4.79762e-08
0.000129426,4.81977e-08
0.000129725,4.84202e-08
0.000130024,4.86437e-08
0.000130324,4.88683e-08
0.000130624,4.90939e-08
0.000130925,4.93206e-08
0.000131227,4.95483e-08
0.00013153,4.9777e-08
0.000131833,5.00068e-08
0.000132137,5.02377e-08
0.000132442,5.04696e-08
0.000132747,5.07026e-08
0.000133053,5.09367e-08
0.00013336,5.11719e-08
0.000133667,5.14081e-08
0.000133976,5.16455e-08
0.000134284,5.18839e-08
