r,N
0.0001,1.72305e-07
0.000100231,1.73101e-07
0.000100462,1.739e-07
0.000100693,1.74703e-07
0.000100925,1.75509e-07
0.000101158,1.76319e-07
0.000101391,1.77133e-07
0.000101625,1.77951e-07
0.00010186,1.78773e-07
0.000102094,1.79598e-07
0.00010233,1.80427e-07
0.000102566,1.8126e-07
0.000102802,1.82097e-07
0.000103039,1.82938e-07
0.000103277,1.83782e-07
0.000103515,1.84631e-07
0.000103754,1.85483e-07
0.000103993,1.8634e-07
0.000104233,1.872e-07
0.000104473,1.88064e-07
0.000104714,1.88932e-07
0.000104955,1.89805e-07
0.000105197,1.90681e-07
0.00010544,1.91561e-07
0.000105683,1.92446e-07
0.000105927,1.93334e-07
0.000106171,1.94227e-07
0.000106416,1.95123e-07
0.000106661,1.96024e-07
0.000106907,1.96929e-07
0.000107153,1.97838e-07
0.0001074,1.98752e-07
0.000107648,1.99669e-07
0.000107896,2.00591e-07
0.000108145,2.01517e-07
0.000108394,2.02447e-07
0.000108644,2.03382e-07
0.000108895,2.04321e-07
0.000109146,2.05264e-07
0.000109398,2.06212e-07
0.00010965,2.07164e-07
0.000109903,2.0812e-07
0.000110156,2.09081e-07
0.00011041,2.10046e-07
0.000110665,2.11016e-07
0.00011092,2.1199e-07
0.000111176,2.12969e-07
0.000111432,2.13952e-07
0.000111689,2.1494e-07
0.000111946,2.15932e-07
0.000112204,2.16929e-07
0.000112463,2.17931e-07
0.000112722,2.18937e-07
0.000112982,2.19948e-07
0.000113243,2.20963e-07
0.000113504,2.21983e-07
0.000113766,2.23008e-07
0.000114028,2.24038e-07
0.000114291,2.25072e-07
0.000114554,2.26111e-07
0.000114819,2.27155e-07
0.000115083,2.28204e-07
0.000115349,2.29257e-07
0.000115615,2.30316e-07
0.000115881,2.31379e-07
0.000116148,2.32447e-07
0.000116416,2.3352e-07
0.000116685,2.34598e-07
0.000116954,2.35681e-07
0.000117223,2.3677e-07
0.000117494,2.37863e-07
0.000117764,2.38961e-07
0.000118036,2.40064e-07
0.000118308,2.41172e-07
0.000118581,2.42286e-07
0.000118854,2.43404e-07
0.000119128,2.44528e-07
0.000119403,2.45657e-07
