r,N
0.0001,1.22171e-07
0.000100231,1.22727e-07
0.000100462,1.23286e-07
0.000100693,1.23847e-07
0.000100925,1.24411e-07
0.000101158,1.24978e-07
0.000101391,1.25547e-07
0.000101625,1.26118e-07
0.00010186,1.26692e-07
0.000102094,1.27269e-07
0.00010233,1.27848e-07
0.000102566,1.2843e-07
0.000102802,1.29015e-07
0.000103039,1.29602e-07
0.000103277,1.30192e-07
0.000103515,1.30785e-07
0.000103754,1.3138e-07
0.000103993,1.31978e-07
0.000104233,1.32579e-07
0.000104473,1.33183e-07
0.000104714,1.33789e-07
0.000104955,1.34398e-07
0.000105197,1.35009e-07
0.00010544,1.35624e-07
0.000105683,1.36241e-07
0.000105927,1.36861e-07
0.000106171,1.37484e-07
0.000106416,1.3811e-07
0.000106661,1.38738e-07
0.000106907,1.3937e-07
0.000107153,1.40004e-07
0.0001074,1.40641e-07
0.000107648,1.41281e-07
0.000107896,1.41924e-07
0.000108145,1.4257e-07
0.000108394,1.43219e-07
0.000108644,1.4387e-07
0.000108895,1.44525e-07
0.000109146,1.45183e-07
0.000109398,1.45843e-07
0.00010965,1.46507e-07
0.000109903,1.47173e-07
0.000110156,1.47843e-07
0.00011041,1.48516e-07
0.000110665,1.49191e-07
0.00011092,1.4987e-07
0.000111176,1.50552e-07
0.000111432,1.51237e-07
0.000111689,1.51925e-07
0.000111946,1.52616e-07
0.000112204,1.5331e-07
0.000112463,1.54008e-07
0.000112722,1.54709e-07
0.000112982,1.55412e-07
0.000113243,1.56119e-07
0.000113504,1.56829e-07
0.000113766,1.57543e-07
0.000114028,1.58259e-07
0.000114291,1.58979e-07
0.000114554,1.59702e-07
0.000114819,1.60429e-07
0.000115083,1.61159e-07
0.000115349,1.61892e-07
0.000115615,1.62628e-07
0.000115881,1.63368e-07
0.000116148,1.64111e-07
0.000116416,1.64857e-07
0.000116685,1.65607e-07
0.000116954,1.6636e-07
0.000117223,1.67116e-07
0.000117494,1.67876e-07
0.000117764,1.6864e-07
0.000118036,1.69407e-07
0.000118308,1.70177e-07
0.000118581,1.70951e-07
0.000118854,1.71728e-07
0.000119128,1.72509e-07
0.000119403,1.73294e-07
0.000119678,1.74082e-07
0.000119954,1.74873e-07
0.000120231,1.75668e-07
0.000120508,1.76467e-07
0.000120786,1.7727e-07
0.000121064,1.78075e-07
0.000121344,1.78885e-07
0.000121623,1.79698e-07
0.000121904,1.80515e-07
0.000122185,1.81336e-07
0.000122467,1.82161e-07
0.000122749,1.82989e-07
0.000123032,1.83821e-07
0.000123316,1.84656e-07
0.0001236,1.85496e-07
0.000123885,1.86339e-07
0.000124171,1.87186e-07
0.000124457,1.88037e-07
0.000124744,1.88892e-07
0.000125031,1.8975e-07
0.00012532,1.90613e-07
0.000125609,1.91479e-07
0.000125898,1.92349e-07
0.000126189,1.93224e-07
0.00012648,1.94102e-07
0.000126771,1.94984e-07
0.000127063,1.9587e-07
0.000127356,1.96761e-07
0.00012765,1.97655e-07
0.000127944,1.98553e-07
0.000128239,1.99455e-07
0.000128535,2.00362e-07
0.000128831,2.01272e-07
0.000129129,2.02187e-07
0.000129426,2.03106e-07
0.000129725,2.04029e-07
0.000130024,2.04956e-07
0.000130324,2.05887e-07
0.000130624,2.06823e-07
0.000130925,2.07763e-07
0.000131227,2.08707e-07
0.00013153,2.09655e-07
0.000131833,2.10608e-07
0.000132137,2.11565e-07
0.000132442,2.12526e-07
0.000132747,2.13491e-07
0.000133053,2.14461e-07
0.00013336,2.15436e-07
0.000133667,2.16414e-07
0.000133976,2.17398e-07
0.000134284,2.18385e-07
0.000134594,2.19377e-07
0.000134904,2.20374e-07
0.000135215,2.21375e-07
0.000135527,2.22381e-07
0.00013584,2.23391e-07
0.000136153,2.24406e-07
0.000136467,2.25425e-07
0.000136781,2.26449e-07
0.000137097,2.27478e-07
0.000137413,2.28511e-07
0.00013773,2.29549e-07
0.000138047,2.30591e-07
0.000138366,2.31639e-07
0.000138685,2.32691e-07
0.000139004,2.33747e-07
0.000139325,2.34809e-07
0.000139646,2.35875e-07
0.000139968,2.36947e-07
0.000140291,2.38023e-07
0.000140614,2.39104e-07
0.000140939,2.4019e-07
0.000141264,2.4128e-07
0.000141589,2.42376e-07
0.000141916,2.43477e-07
0.000142243,2.44582e-07
0.000142571,2.45693e-07
0.0001429,2.46808e-07
0.000143229,2.47929e-07
0.000143559,2.49055e-07
0.00014389,2.50186e-07
0.000144222,2.51322e-07
0.000144555,2.52463e-07
0.000144888,2.53609e-07
0.000145222,2.5476e-07
0.000145557,2.55917e-07
0.000145892,2.57079e-07
0.000146229,2.58246e-07
0.000146566,2.59418e-07
0.000146904,2.60596e-07
0.000147243,2.61779e-07
0.000147582,2.62967e-07
0.000147922,2.64161e-07
0.000148263,2.6536e-07
0.000148605,2.66565e-07
0.000148948,2.67775e-07
0.000149291,2.6899e-07
0.000149636,2.70211e-07
0.000149981,2.71437e-07
0.000150326,2.72669e-07
0.000150673,2.73907e-07
0.00015102,2.7515e-07
0.000151369,2.76399e-07
0.000151718,2.77653e-07
0.000152068,2.78914e-07
0.000152418,2.80179e-07
0.00015277,2.81451e-07
0.000153122,2.82728e-07
0.000153475,2.84011e-07
0.000153829,2.853e-07
0.000154183,2.86595e-07
0.000154539,2.87895e-07
0.000154895,2.89202e-07
0.000155252,2.90514e-07
0.00015561,2.91832e-07
0.000155969,2.93156e-07
0.000156329,2.94486e-07
0.000156689,2.95822e-07
0.00015705,2.97165e-07
0.000157413,2.98513e-07
0.000157776,2.99867e-07
0.000158139,3.01228e-07
0.000158504,3.02594e-07
0.000158869,3.03967e-07
0.000159236,3.05346e-07
0.000159603,3.06731e-07
0.000159971,3.08123e-07
0.00016034,3.09521e-07
0.000160709,3.10925e-07
0.00016108,3.12335e-07
0.000161451,3.13752e-07
0.000161824,3.15175e-07
0.000162197,3.16605e-07
0.000162571,3.18041e-07
0.000162946,3.19483e-07
0.000163321,3.20932e-07
0.000163698,3.22388e-07
0.000164075,3.2385e-07
0.000164454,3.25319e-07
0.000164833,3.26794e-07
0.000165213,3.28276e-07
0.000165594,3.29765e-07
0.000165976,3.31261e-07
0.000166358,3.32763e-07
0.000166742,3.34272e-07
0.000167126,3.35788e-07
0.000167512,3.3731e-07
0.000167898,3.3884e-07
0.000168285,3.40376e-07
0.000168673,3.4192e-07
0.000169062,3.4347e-07
0.000169452,3.45028e-07
0.000169842,3.46592e-07
0.000170234,3.48163e-07
0.000170626,3.49742e-07
0.00017102,3.51328e-07
0.000171414,3.5292e-07
0.000171809,3.5452e-07
0.000172206,3.56128e-07
0.000172603,3.57742e-07
0.000173001,3.59364e-07
0.000173399,3.60993e-07
0.000173799,3.62629e-07
0.0001742,3.64273e-07
0.000174602,3.65925e-07
0.000175004,3.67583e-07
0.000175408,3.69249e-07
0.000175812,3.70923e-07
0.000176218,3.72604e-07
0.000176624,3.74293e-07
0.000177031,3.7599e-07
0.000177439,3.77694e-07
0.000177848,3.79406e-07
0.000178258,3.81125e-07
0.000178669,3.82853e-07
