r,N
0.0001,0
0.000100231,0
0.000100462,0
0.000100693,0
0.000100925,0
0.000101158,0
0.000101391,0
0.000101625,0
0.00010186,0
0.000102094,0
0.00010233,0
0.000102566,0
0.000102802,0
0.000103039,0
0.000103277,0
0.000103515,0
0.000103754,0
0.000103993,0
0.000104233,0
0.000104473,0
0.000104714,0
0.000104955,0
0.000105197,0
0.00010544,0
0.000105683,0
0.000105927,0
0.000106171,0
0.000106416,0
0.000106661,0
0.000106907,0
0.000107153,0
0.0001074,0
0.000107648,0
0.000107896,0
0.000108145,0
0.000108394,0
0.000108644,0
0.000108895,0
0.000109146,0
0.000109398,0
0.00010965,0
0.000109903,0
0.000110156,0
0.00011041,0
0.000110665,0
0.00011092,0
0.000111176,0
0.000111432,0
0.000111689,0
0.000111946,0
0.000112204,0
0.000112463,0
0.000112722,0
0.000112982,0
0.000113243,0
0.000113504,0
0.000113766,0
0.000114028,0
0.000114291,0
0.000114554,0
0.000114819,0
0.000115083,0
0.000115349,0
0.000115615,0
0.000115881,0
0.000116148,0
0.000116416,0
0.000116685,0
0.000116954,0
0.000117223,0
0.000117494,0
0.000117764,0
0.000118036,0
0.000118308,0
0.000118581,0
0.000118854,0
0.000119128,0
0.000119403,0
0.000119678,0
0.000119954,0
0.000120231,0
0.000120508,0
0.000120786,0
0.000121064,0
0.000121344,0
0.000121623,0
0.000121904,0
0.000122185,0
0.000122467,0
0.000122749,0
0.000123032,0
0.000123316,0
0.0001236,0
0.000123885,0
0.000124171,0
0.000124457,0
0.000124744,0
0.000125031,0
0.00012532,0
0.000125609,0
0.000125898,0
0.000126189,0
0.00012648,0
0.000126771,0
0.000127063,0
0.000127356,0
0.00012765,0
0.000127944,0
0.000128239,0
0.000128535,0
0.000128831,0
0.000129129,0
0.000129426,0
0.000129725,0
0.000130024,0
0.000130324,0
0.000130624,0
0.000130925,0
0.000131227,0
0.00013153,0
0.000131833,0
0.000132137,0
0.000132442,0
0.000132747,0
0.000133053,0
0.00013336,0
0.000133667,0
0.000133976,0
0.000134284,0
0.000134594,0
0.000134904,0
0.000135215,0
0.000135527,0
0.00013584,0
0.000136153,0
0.000136467,0
0.000136781,0
0.000137097,0
0.000137413,0
0.00013773,0
0.000138047,0
0.000138366,0
0.000138685,0
0.000139004,0
0.000139325,0
0.000139646,0
0.000139968,0
0.000140291,0
0.000140614,0
0.000140939,0
0.000141264,0
0.000141589,0
0.000141916,0
0.000142243,0
0.000142571,0
0.0001429,0
0.000143229,0
0.000143559,0
0.00014389,0
0.000144222,0
0.000144555,0
0.000144888,0
0.000145222,0
0.000145557,0
0.000145892,0
0.000146229,0
0.000146566,0
0.000146904,0
0.000147243,0
0.000147582,0
0.000147922,0
0.000148263,0
0.000148605,0
0.000148948,0
0.000149291,0
0.000149636,0
0.000149981,0
0.000150326,0
0.000150673,0
0.00015102,0
0.000151369,0
0.000151718,0
0.000152068,0
0.000152418,0
0.00015277,0
0.000153122,0
0.000153475,0
0.000153829,0
0.000154183,0
0.000154539,0
0.000154895,0
0.000155252,0
0.00015561,0
0.000155969,0
0.000156329,0
0.000156689,0
0.00015705,0
0.000157413,0
0.000157776,0
0.000158139,0
0.000158504,0
0.000158869,0
0.000159236,0
0.000159603,0
0.000159971,0
0.00016034,0
0.000160709,0
0.00016108,0
0.000161451,0
0.000161824,0
0.000162197,0
0.000162571,0
0.000162946,0
0.000163321,0
0.000163698,0
0.000164075,0
0.000164454,0
0.000164833,0
0.000165213,0
0.000165594,0
0.000165976,0
0.000166358,0
0.000166742,0
0.000167126,0
0.000167512,0
0.000167898,0
0.000168285,0
0.000168673,0
0.000169062,0
0.000169452,0
0.000169842,0
0.000170234,0
0.000170626,0
0.00017102,0
0.000171414,0
0.000171809,0
0.000172206,0
0.000172603,0
0.000173001,0
0.000173399,0
0.000173799,0
0.0001742,0
0.000174602,0
0.000175004,0
0.000175408,0
0.000175812,0
0.000176218,0
0.000176624,0
0.000177031,0
0.000177439,0
0.000177848,0
0.000178258,0
0.000178669,0
0.000179081,0
0.000179494,0
0.000179908,0
0.000180323,0
0.000180739,0
0.000181156,0
0.000181573,0
0.000181992,0
0.000182411,0
0.000182832,0
0.000183254,0
0.000183676,0
0.0001841,0
0.000184524,0
0.00018495,0
0.000185376,0
0.000185803,0
0.000186232,0
0.000186661,0
0.000187092,0
0.000187523,0
0.000187955,0
0.000188389,0
0.000188823,0
0.000189259,0
0.000189695,0
0.000190132,0
0.000190571,0
0.00019101,0
0.00019145,0
0.000191892,0
0.000192334,0
0.000192778,0
0.000193222,0
0.000193668,0
0.000194114,0
0.000194562,0
0.000195011,0
0.00019546,0
0.000195911,0
0.000196363,0
0.000196815,0
0.000197269,0
0.000197724,0
0.00019818,0
0.000198637,0
0.000199095,0
0.000199554,0
0.000200014,0
0.000200475,0
0.000200937,0
0.000201401,0
0.000201865,0
0.00020233,0
0.000202797,0
0.000203265,0
0.000203733,0
0.000204203,0
0.000204674,0
0.000205146,0
0.000205619,0
0.000206093,0
0.000206568,0
0.000207044,0
0.000207522,0
0.000208,0
0.00020848,0
0.00020896,0
0.000209442,0
0.000209925,0
0.000210409,0
0.000210894,0
0.000211381,0
0.000211868,0
0.000212356,0
0.000212846,0
0.000213337,0
0.000213829,0
0.000214322,0
0.000214816,0
0.000215311,0
0.000215808,0
0.000216305,0
0.000216804,0
0.000217304,0
0.000217805,0
0.000218307,0
0.00021881,0
0.000219315,0
0.000219821,0
0.000220327,0
0.000220835,0
0.000221345,0
0.000221855,0
0.000222367,0
0.000222879,0
0.000223393,0
0.000223908,0
0.000224424,0
0.000224942,0
0.000225461,0
0.00022598,0
0.000226501,0
0.000227024,0
0.000227547,0
0.000228072,0
0.000228598,0
0.000229125,0
0.000229653,0
0.000230183,0
0.000230713,0
0.000231245,0
0.000231778,0
0.000232313,0
0.000232848,0
0.000233385,0
0.000233923,0
0.000234463,0
0.000235003,0
0.000235545,0
0.000236088,0
0.000236633,0
0.000237178,0
0.000237725,0
0.000238273,0
0.000238823,0
0.000239373,0
0.000239925,0
0.000240478,0
0.000241033,0
0.000241589,0
0.000242146,0
0.000242704,0
0.000243264,0
0.000243825,0
0.000244387,0
0.00024495,0
0.000245515,0
0.000246081,0
0.000246648,0
0.000247217,0
0.000247787,0
0.000248358,0
0.000248931,0
0.000249505,0
0.00025008,0
0.000250657,0
0.000251235,0
0.000251814,0
0.000252395,0
0.000252977,0
0.00025356,0
0.000254145,0
0.000254731,0
0.000255318,0
0.000255907,0
0.000256497,0
0.000257088,0
0.000257681,0
0.000258275,0
0.000258871,0
0.000259467,0
0.000260066,0
0.000260665,0
0.000261266,0
0.000261869,0
0.000262473,0
0.000263078,0
0.000263684,0
0.000264292,0
0.000264902,0
0.000265512,0
0.000266125,0
0.000266738,0
0.000267353,0
0.00026797,0
0.000268588,0
0.000269207,0
0.000269828,0
0.00027045,0
0.000271073,0
0.000271698,0
0.000272325,0
0.000272953,0
0.000273582,0
0.000274213,0
0.000274845,0
0.000275479,0
0.000276114,0
0.000276751,0
0.000277389,0
0.000278028,0
0.000278669,0
0.000279312,0
0.000279956,0
0.000280601,0
0.000281248,0
0.000281897,0
0.000282547,0
0.000283198,0
0.000283851,0
0.000284506,0
0.000285162,0
0.000285819,0
0.000286478,0
0.000287139,0
0.000287801,0
0.000288464,0
0.000289129,0
0.000289796,0
0.000290464,0
0.000291134,0
0.000291805,0
0.000292478,0
0.000293152,0
0.000293828,0
0.000294506,0
0.000295185,0
0.000295865,0
0.000296548,0
0.000297231,0
0.000297917,0
0.000298604,0
0.000299292,0
0.000299982,0
0.000300674,0
0.000301367,0
0.000302062,0
0.000302758,0
0.000303456,0
0.000304156,0
0.000304857,0
0.00030556,0
0.000306265,0
0.000306971,0
0.000307679,0
0.000308388,0
0.000309099,0
0.000309812,0
0.000310526,0
0.000311242,0
0.00031196,0
0.000312679,0
0.0003134,0
0.000314123,0
0.000314847,0
0.000315573,0
0.000316301,0
0.00031703,0
0.000317761,0
0.000318494,0
0.000319228,0
0.000319964,0
0.000320702,0
0.000321441,0
0.000322182,0
0.000322925,0
0.00032367,0
0.000324416,0
0.000325164,0
0.000325914,0
0.000326665,0
0.000327418,0
0.000328173,0
0.00032893,0
0.000329688,0
0.000330449,0
0.00033121,0
0.000331974,0
0.00033274,0
0.000333507,0
0.000334276,0
0.000335046,0
0.000335819,0
0.000336593,0
0.000337369,0
0.000338147,0
