W,sigma_GLC,sigma_BG
10.19,335390,377067
10.7923,342363,384614
11.4301,349148,391949
12.1057,355760,399089
12.8212,362210,406049
13.579,368510,412842
14.3816,374671,419479
15.2316,380703,425972
16.1319,386614,432330
17.0854,392410,438562
18.0952,398100,444676
19.1647,403689,450678
20.2974,409183,456575
21.4971,414586,462372
22.7677,419903,468075
24.1133,425136,473686
25.5385,430291,479211
27.048,435369,484652
28.6466,440373,490012
30.3398,445306,495295
32.133,450168,500502
34.0322,454963,505635
36.0437,459692,510697
38.174,464355,515688
40.4303,468955,520610
42.8199,473491,525464
45.3508,477966,530252
48.0312,482379,534974
50.8701,486732,539631
53.8767,491024,544223
57.0611,495258,548752
60.4336,499432,553217
64.0056,503547,557620
67.7886,507604,561960
71.7952,511604,566239
76.0386,515546,570456
80.5329,519430,574613
85.2927,523258,578708
90.3339,527029,582743
95.6731,530743,586718
101.328,534402,590632
107.317,538004,594488
113.66,541551,598284
120.377,545043,602021
127.492,548479,605700
135.028,551861,609320
143.008,555189,612883
151.461,558463,616388
160.413,561683,619835
169.894,564849,623226
179.936,567963,626561
190.571,571024,629839
201.834,574032,633062
213.764,576989,636229
226.398,579895,639342
239.779,582750,642401
253.951,585554,645405
268.961,588308,648357
284.858,591013,651255
301.694,593668,654101
319.526,596275,656896
338.411,598834,659639
358.413,601346,662331
379.597,603810,664973
402.033,606228,667566
425.794,608601,670110
450.961,610927,672605
477.615,613209,675052
505.844,615447,677452
535.742,617641,679806
567.407,619792,682113
600.943,621901,684375
636.461,623968,686592
674.079,625993,688765
713.92,627977,690895
756.116,629922,692981
800.806,631827,695025
848.138,633693,697028
898.267,635520,698989
951.358,637310,700910
1007.59,639063,702792
1067.14,640779,704634
1130.21,642459,706437
1197.01,644103,708203
1267.76,645713,709931
1342.69,647289,711623
1422.05,648831,713279
1506.1,650340,714899
1595.12,651816,716485
1689.4,653261,718036
1789.25,654674,719554
1895.01,656057,721038
2007.01,657409,722491
2125.63,658731,723911
2251.27,660025,725300
2384.33,661290,726659
2525.25,662527,727987
2674.51,663736,729286
2832.58,664918,730556
3000,666074,731798
