# W sigma_GLC sigma_BG
30.97 9137.26 10189.4
32.4342 9516.6 10640.8
33.9677 9902.9 11102.3
35.5737 10296.4 11574.1
37.2555 10697.4 12056.6
39.017 11106.1 12550.2
40.8616 11522.9 13055.3
42.7935 11948 13572.3
44.8168 12381.6 14101.6
46.9357 12824.1 14643.6
49.1547 13275.7 15198.7
51.4787 13736.7 15767.2
53.9126 14207.4 16349.7
56.4615 14687.9 16946.4
59.131 15178.6 17557.8
61.9266 15679.7 18184.3
64.8545 16191.5 18826.3
67.9207 16714.2 19484.2
71.132 17248 20158.4
74.495 17793.3 20849.2
78.0171 18350.1 21557.1
81.7057 18918.8 22282.5
85.5686 19499.6 23025.6
89.6142 20092.7 23787
93.8511 20698.3 24567
98.2883 21316.6 25365.9
102.935 21947.8 26184.2
107.802 22592.1 27022.2
112.899 23249.7 27880.2
118.236 23920.8 28758.6
123.827 24605.6 29657.7
129.681 25304.2 30578
135.812 26016.8 31519.7
142.233 26743.6 32483.2
148.958 27484.7 33468.7
156.001 28240.3 34476.7
163.376 29010.4 35507.4
171.1 29795.4 36561.2
179.19 30595.2 37638.2
187.662 31410 38738.9
196.534 32240 39863.5
205.826 33085.2 41012.3
215.557 33945.7 42185.6
225.749 34821.6 43383.5
236.422 35713.1 44606.4
247.6 36620.2 45854.5
259.306 37542.9 47128.1
271.566 38481.4 48427.2
284.405 39435.7 49752.3
297.852 40405.8 51103.4
311.934 41391.9 52480.7
326.682 42393.8 53884.5
342.127 43411.8 55314.8
358.302 44445.7 56771.9
375.243 45495.6 58255.9
392.984 46561.5 59766.9
411.564 47643.4 61305.1
431.022 48741.2 62870.5
451.4 49855.1 64463.3
472.742 50984.9 66083.4
495.093 52130.5 67731.1
518.5 53292.1 69406.4
543.015 54469.4 71109.2
568.688 55662.5 72839.6
595.575 56871.2 74597.7
623.733 58095.6 76383.4
653.223 59335.4 78196.8
684.106 60590.7 80037.7
716.45 61861.3 81906.2
750.323 63147.1 83802.1
785.798 64448 85725.5
822.95 65763.9 87676.3
861.858 67094.6 89654.2
902.606 68439.9 91659.3
945.28 69799.8 93691.4
989.972 71174.1 95750.3
1036.78 72562.7 97835.9
1085.8 73965.2 99948
1137.13 75381.6 102086
1190.89 76811.7 104251
1247.2 78255.3 106442
1306.16 79712.1 108658
1367.92 81182.1 110899
1432.59 82664.8 113166
1500.32 84160.3 115457
1571.26 85668.1 117774
1645.54 87188.1 120114
1723.34 88720 122479
1804.82 90263.6 124867
1890.15 91818.6 127278
1979.52 93384.8 129712
2073.11 94961.9 132169
2171.12 96549.6 134648
2273.77 98147.7 137149
2381.27 99755.8 139671
2493.86 101374 142215
2611.76 103001 144778
2735.25 104638 147362
2864.57 106283 149966
3000 107938 152589
