# W sigma_GLC sigma_BG
7.76 1.5637e+06 1.71665e+06
8.2413 1.59401e+06 1.75106e+06
8.75245 1.62332e+06 1.7844e+06
9.2953 1.65172e+06 1.81675e+06
9.87183 1.67926e+06 1.8482e+06
10.4841 1.70602e+06 1.8788e+06
11.1344 1.73205e+06 1.90862e+06
11.8249 1.75742e+06 1.93773e+06
12.5584 1.78215e+06 1.96617e+06
13.3373 1.8063e+06 1.99398e+06
14.1645 1.82991e+06 2.0212e+06
15.043 1.85299e+06 2.04787e+06
15.976 1.8756e+06 2.07403e+06
16.9669 1.89775e+06 2.09969e+06
18.0193 1.91946e+06 2.12489e+06
19.1369 1.94075e+06 2.14964e+06
20.3238 1.96166e+06 2.17397e+06
21.5843 1.98218e+06 2.19789e+06
22.9231 2.00234e+06 2.22142e+06
24.3448 2.02214e+06 2.24456e+06
25.8548 2.04161e+06 2.26734e+06
27.4583 2.06074e+06 2.28976e+06
29.1614 2.07955e+06 2.31183e+06
30.9701 2.09805e+06 2.33356e+06
32.8909 2.11625e+06 2.35495e+06
34.9309 2.13414e+06 2.37602e+06
37.0974 2.15174e+06 2.39676e+06
39.3983 2.16906e+06 2.41719e+06
41.8419 2.18609e+06 2.4373e+06
44.4371 2.20284e+06 2.4571e+06
47.1932 2.21931e+06 2.4766e+06
50.1203 2.23551e+06 2.49579e+06
53.2289 2.25145e+06 2.51469e+06
56.5303 2.26712e+06 2.53328e+06
60.0365 2.28253e+06 2.55159e+06
63.7602 2.29768e+06 2.5696e+06
67.7148 2.31257e+06 2.58732e+06
71.9146 2.32721e+06 2.60475e+06
76.375 2.3416e+06 2.6219e+06
81.112 2.35574e+06 2.63876e+06
86.1428 2.36963e+06 2.65535e+06
91.4857 2.38328e+06 2.67165e+06
97.1599 2.39669e+06 2.68768e+06
103.186 2.40986e+06 2.70344e+06
109.586 2.42279e+06 2.71892e+06
116.383 2.43549e+06 2.73413e+06
123.601 2.44796e+06 2.74907e+06
131.267 2.4602e+06 2.76375e+06
139.409 2.47221e+06 2.77816e+06
148.055 2.484e+06 2.79232e+06
157.238 2.49556e+06 2.80621e+06
166.991 2.50691e+06 2.81985e+06
177.348 2.51804e+06 2.83324e+06
188.348 2.52896e+06 2.84637e+06
200.03 2.53966e+06 2.85926e+06
212.436 2.55016e+06 2.8719e+06
225.612 2.56045e+06 2.8843e+06
239.605 2.57054e+06 2.89646e+06
254.466 2.58042e+06 2.90838e+06
270.249 2.59011e+06 2.92007e+06
287.011 2.59961e+06 2.93152e+06
304.812 2.60891e+06 2.94275e+06
323.717 2.61802e+06 2.95375e+06
343.795 2.62694e+06 2.96454e+06
365.118 2.63568e+06 2.9751e+06
387.764 2.64424e+06 2.98544e+06
411.814 2.65262e+06 2.99557e+06
437.356 2.66082e+06 3.0055e+06
464.482 2.66885e+06 3.01521e+06
493.291 2.67671e+06 3.02472e+06
523.886 2.68441e+06 3.03403e+06
556.379 2.69193e+06 3.04315e+06
590.888 2.6993e+06 3.05206e+06
627.536 2.70651e+06 3.06079e+06
666.458 2.71355e+06 3.06933e+06
707.794 2.72045e+06 3.07768e+06
751.693 2.72719e+06 3.08586e+06
798.316 2.73379e+06 3.09385e+06
847.83 2.74024e+06 3.10167e+06
900.415 2.74654e+06 3.10931e+06
956.261 2.75271e+06 3.11678e+06
1015.57 2.75873e+06 3.12409e+06
1078.56 2.76463e+06 3.13124e+06
1145.46 2.77038e+06 3.13822e+06
1216.5 2.77601e+06 3.14505e+06
1291.95 2.78151e+06 3.15172e+06
1372.08 2.78689e+06 3.15824e+06
1457.18 2.79214e+06 3.16461e+06
1547.56 2.79727e+06 3.17083e+06
1643.55 2.80228e+06 3.17692e+06
1745.48 2.80718e+06 3.18286e+06
1853.74 2.81196e+06 3.18866e+06
1968.72 2.81663e+06 3.19433e+06
2090.82 2.8212e+06 3.19987e+06
2220.5 2.82565e+06 3.20527e+06
2358.23 2.83e+06 3.21055e+06
2504.49 2.83425e+06 3.21571e+06
2659.83 2.8384e+06 3.22074e+06
2824.8 2.84245e+06 3.22566e+06
3000 2.84641e+06 3.23046e+06
