y,d_sigma_dy_GLC,d_sigma_dy_BG
-4,90.8837,102.033
-3.84,93.4225,104.744
-3.68,95.9646,107.46
-3.52,98.4955,110.164
-3.36,100.999,112.84
-3.2,103.457,115.468
-3.04,105.854,118.031
-2.88,108.177,120.515
-2.72,110.411,122.905
-2.56,112.548,125.19
-2.4,114.578,127.361
-2.24,116.494,129.411
-2.08,118.291,131.333
-1.92,119.965,133.124
-1.76,121.512,134.778
-1.6,122.93,136.294
-1.44,124.216,137.67
-1.28,125.369,138.903
-1.12,126.389,139.994
-0.96,127.274,140.94
-0.8,128.024,141.741
-0.64,128.638,142.398
-0.48,129.115,142.908
-0.32,129.457,143.273
-0.16,129.662,143.492
0,129.73,143.565
0.16,129.662,143.492
0.32,129.457,143.273
0.48,129.115,142.908
0.64,128.638,142.398
0.8,128.024,141.741
0.96,127.274,140.94
1.12,126.389,139.994
1.28,125.369,138.903
1.44,124.216,137.67
1.6,122.93,136.294
1.76,121.512,134.778
1.92,119.965,133.124
2.08,118.291,131.333
2.24,116.494,129.411
2.4,114.578,127.361
2.56,112.548,125.19
2.72,110.411,122.905
2.88,108.177,120.515
3.04,105.854,118.031
3.2,103.457,115.468
3.36,100.999,112.84
3.52,98.4955,110.164
3.68,95.9646,107.46
3.84,93.4225,104.744
4,90.8837,102.033
