y,d_sigma_dy_GLC,d_sigma_dy_BG
-8.5679,1.98508e-54,2.20891e-54
-8.48222,9.83784e-10,1.29145e-09
-8.39654,6.79687e-07,8.89312e-07
-8.31086,2.65888e-05,3.4674e-05
-8.22518,0.000321879,0.000418338
-8.1395,0.00205226,0.00265788
-8.05382,0.00872999,0.0112643
-7.96814,0.0281008,0.0361154
-7.88247,0.0737805,0.0944262
-7.79679,0.165851,0.21132
-7.71111,0.329954,0.418457
-7.62543,0.594943,0.750885
-7.53975,0.989649,1.24287
-7.45407,1.53949,1.92371
-7.36839,2.26366,2.8144
-7.28271,3.17331,3.92569
-7.19703,4.27092,5.25766
-7.11135,5.5507,6.80048
-7.02568,6.99981,8.53622
-6.94,8.59993,10.4409
-6.85432,10.3291,12.4869
-6.76864,12.1634,14.6447
-6.68296,14.0784,16.8851
-6.59728,16.0502,19.1797
-6.5116,18.0566,21.5029
-6.42592,20.0772,23.8314
-6.34024,22.0943,26.1451
-6.25457,24.0923,28.4269
-6.16889,26.0584,30.6627
-6.08321,27.9819,32.8413
-5.99753,29.8544,34.9539
-5.91185,31.6695,36.994
-5.82617,33.4226,38.9572
-5.74049,35.1108,40.841
-5.65481,36.7328,42.6446
-5.56913,38.2885,44.3686
-5.48345,39.7793,46.0151
-5.39778,41.2077,47.5875
-5.3121,42.5771,49.0901
-5.22642,43.8917,50.5283
-5.14074,45.1567,51.9079
-5.05506,46.3773,53.2355
-4.96938,47.5592,54.5177
-4.8837,48.7081,55.7611
-4.79802,49.8294,56.9722
-4.71234,50.9283,58.1568
-4.62666,52.0092,59.3203
-4.54099,53.0762,60.4674
-4.45531,54.1325,61.6019
-4.36963,55.1808,62.7269
-4.28395,56.2227,63.8446
-4.19827,57.2597,64.9565
-4.11259,58.2922,66.0634
-4.02691,59.3203,67.1655
-3.94123,60.1446,68.0442
-3.85555,60.4063,68.3078
-3.76987,60.7174,68.6273
-3.6842,61.0715,68.9956
-3.59852,61.4629,69.4062
-3.51284,61.8861,69.8532
-3.42716,62.3361,70.3308
-3.34148,62.8082,70.8338
-3.2558,63.2982,71.3574
-3.17012,63.802,71.8972
-3.08444,64.316,72.4491
-2.99876,64.837,73.0095
-2.91309,65.3619,73.5748
-2.82741,65.8879,74.1422
-2.74173,66.4125,74.7086
-2.65605,66.9335,75.2718
-2.57037,67.4489,75.8293
-2.48469,67.9567,76.3791
-2.39901,68.4554,76.9194
-2.31333,68.9434,77.4484
-2.22765,69.4193,77.9648
-2.14197,69.8821,78.4671
-2.0563,70.3306,78.9542
-1.97062,70.7639,79.425
-1.88494,71.181,79.8786
-1.79926,71.5812,80.3139
-1.71358,71.9639,80.7304
-1.6279,72.3283,81.1273
-1.54222,72.674,81.5039
-1.45654,73.0003,81.8598
-1.37086,73.307,82.1944
-1.28518,73.5935,82.5072
-1.19951,73.8595,82.798
-1.11383,74.1047,83.0662
-1.02815,74.3287,83.3116
-0.942469,74.5314,83.5339
-0.85679,74.7125,83.7329
-0.771111,74.8717,83.9082
-0.685432,75.0088,84.1317
-0.599753,75.1316,84.35
-0.514074,75.3068,84.5393
-0.428395,75.455,84.6995
-0.342716,75.5763,84.8306
-0.257037,75.6706,84.9326
-0.171358,75.7381,85.0055
-0.085679,75.7785,85.0492
0,75.792,85.0637
0.085679,75.7785,85.0492
0.171358,75.7381,85.0055
0.257037,75.6706,84.9326
0.342716,75.5763,84.8306
0.428395,75.455,84.6995
0.514074,75.3068,84.5393
0.599753,75.1316,84.35
0.685432,75.0088,84.1317
0.771111,74.8717,83.9082
0.85679,74.7125,83.7329
0.942469,74.5314,83.5339
1.02815,74.3287,83.3116
1.11383,74.1047,83.0662
1.19951,73.8595,82.798
1.28518,73.5935,82.5072
1.37086,73.307,82.1944
1.45654,73.0003,81.8598
1.54222,72.674,81.5039
1.6279,72.3283,81.1273
1.71358,71.9639,80.7304
1.79926,71.5812,80.3139
1.88494,71.181,79.8786
1.97062,70.7639,79.425
2.0563,70.3306,78.9542
2.14197,69.8821,78.4671
2.22765,69.4193,77.9648
2.31333,68.9434,77.4484
2.39901,68.4554,76.9194
2.48469,67.9567,76.3791
2.57037,67.4489,75.8293
2.65605,66.9335,75.2718
2.74173,66.4125,74.7086
2.82741,65.8879,74.1422
2.91309,65.3619,73.5748
2.99876,64.837,73.0095
3.08444,64.316,72.4491
3.17012,63.802,71.8972
3.2558,63.2982,71.3574
3.34148,62.8082,70.8338
3.42716,62.3361,70.3308
3.51284,61.8861,69.8532
3.59852,61.4629,69.4062
3.6842,61.0715,68.9956
3.76987,60.7174,68.6273
3.85555,60.4063,68.3078
3.94123,60.1446,68.0442
4.02691,59.3203,67.1655
4.11259,58.2922,66.0634
4.19827,57.2597,64.9565
4.28395,56.2227,63.8446
4.36963,55.1808,62.7269
4.45531,54.1325,61.6019
4.54099,53.0762,60.4674
4.62666,52.0092,59.3203
4.71234,50.9283,58.1568
4.79802,49.8294,56.9722
4.8837,48.7081,55.7611
4.96938,47.5592,54.5177
5.05506,46.3773,53.2355
5.14074,45.1567,51.9079
5.22642,43.8917,50.5283
5.3121,42.5771,49.0901
5.39778,41.2077,47.5875
5.48345,39.7793,46.0151
5.56913,38.2885,44.3686
5.65481,36.7328,42.6446
5.74049,35.1108,40.841
5.82617,33.4226,38.9572
5.91185,31.6695,36.994
5.99753,29.8544,34.9539
6.08321,27.9819,32.8413
6.16889,26.0584,30.6627
6.25457,24.0923,28.4269
6.34024,22.0943,26.1451
6.42592,20.0772,23.8314
6.5116,18.0566,21.5029
6.59728,16.0502,19.1797
6.68296,14.0784,16.8851
6.76864,12.1634,14.6447
6.85432,10.3291,12.4869
6.94,8.59993,10.4409
7.02568,6.99981,8.53622
7.11135,5.5507,6.80048
7.19703,4.27092,5.25766
7.28271,3.17331,3.92569
7.36839,2.26366,2.8144
7.45407,1.53949,1.92371
7.53975,0.989649,1.24287
7.62543,0.594943,0.750885
7.71111,0.329954,0.418457
7.79679,0.165851,0.21132
7.88247,0.0737805,0.0944262
7.96814,0.0281008,0.0361154
8.05382,0.00872999,0.0112643
8.1395,0.00205226,0.00265788
8.22518,0.000321879,0.000418338
8.31086,2.65888e-05,3.4674e-05
8.39654,6.79687e-07,8.89312e-07
8.48222,9.83784e-10,1.29145e-09
8.5679,1.98508e-54,2.20891e-54
