y,d_sigma_dy_GLC,d_sigma_dy_BG
-7.45629,7.87688e-55,1.18325e-54
-7.38172,4.24972e-12,4.34177e-12
-7.30716,3.10374e-09,3.17254e-09
-7.2326,1.28226e-07,1.31136e-07
-7.15803,1.63854e-06,1.67666e-06
-7.08347,1.10286e-05,1.12922e-05
-7.00891,4.95579e-05,5.07788e-05
-6.93435,0.000168702,0.000173003
-6.85978,0.000469126,0.00048156
-6.78522,0.00111874,0.00114971
-6.71066,0.00236507,0.00243379
-6.63609,0.00453851,0.00467749
-6.56153,0.00804494,0.00830551
-6.48697,0.0133487,0.0138073
-6.41241,0.0209484,0.0217131
-6.33784,0.0313486,0.0325659
-6.26328,0.0450317,0.0468923
-6.18872,0.0624318,0.0651758
-6.11415,0.0839142,0.0878342
-6.03959,0.109761,0.115203
-5.96503,0.140161,0.147526
-5.89047,0.175211,0.184951
-5.8159,0.214916,0.227527
-5.74134,0.259197,0.275219
-5.66678,0.3079,0.327908
-5.59221,0.360811,0.385406
-5.51765,0.417665,0.447468
-5.44309,0.478162,0.513804
-5.36853,0.541973,0.584093
-5.29396,0.608759,0.657991
-5.2194,0.678173,0.735144
-5.14484,0.749874,0.815197
-5.07027,0.82353,0.897806
-4.99571,0.898831,0.98264
-4.92115,0.97549,1.0694
-4.84659,1.05326,1.15782
-4.77202,1.13192,1.24768
-4.69746,1.21132,1.33884
-4.6229,1.29135,1.4312
-4.54833,1.37198,1.52478
-4.47377,1.45325,1.61967
-4.39921,1.53527,1.71607
-4.32465,1.61823,1.81427
-4.25008,1.7024,1.91467
-4.17552,1.7881,2.01774
-4.10096,1.87571,2.12401
-4.02639,1.96564,2.23405
-3.95183,2.05831,2.34845
-3.87727,2.15413,2.46775
-3.80271,2.25349,2.59247
-3.72814,2.35672,2.72306
-3.65358,2.4641,2.85986
-3.57902,2.57581,3.00309
-3.50445,2.69198,3.15288
-3.42989,2.81262,3.30921
-3.35533,2.93767,3.47194
-3.28077,3.06697,3.64081
-3.2062,3.2003,3.81546
-3.13164,3.33736,3.99544
-3.05708,3.47778,4.1802
-2.98251,3.62116,4.36913
-2.90795,3.76704,4.5616
-2.83339,3.90534,4.74575
-2.75883,4.0155,4.89753
-2.68426,4.12847,5.05267
-2.6097,4.24362,5.21035
-2.53514,4.36036,5.36976
-2.46057,4.47811,5.53013
