# b[GeV^-1] TA(b)
0 0.0825669
0.251256 0.0825645
0.502513 0.0825574
0.753769 0.0825455
1.00503 0.0825289
1.25628 0.0825075
1.50754 0.0824814
1.75879 0.0824505
2.01005 0.0824149
2.26131 0.0823745
2.51256 0.0823293
2.76382 0.0822793
3.01508 0.0822245
3.26633 0.0821649
3.51759 0.0821005
3.76884 0.0820312
4.0201 0.0819571
4.27136 0.0818781
4.52261 0.0817943
4.77387 0.0817055
5.02513 0.0816118
5.27638 0.0815132
5.52764 0.0814097
5.77889 0.0813011
6.03015 0.0811876
6.28141 0.081069
6.53266 0.0809454
6.78392 0.0808167
7.03518 0.0806829
7.28643 0.080544
7.53769 0.0803999
7.78894 0.0802506
8.0402 0.080096
8.29146 0.0799362
8.54271 0.0797712
8.79397 0.0796007
9.04523 0.0794249
9.29648 0.0792436
9.54774 0.0790569
9.79899 0.0788647
10.0503 0.0786669
10.3015 0.0784635
10.5528 0.0782545
10.804 0.0780397
11.0553 0.0778191
11.3065 0.0775928
11.5578 0.0773605
11.809 0.0771223
12.0603 0.076878
12.3116 0.0766277
12.5628 0.0763712
12.8141 0.0761085
13.0653 0.0758394
13.3166 0.075564
13.5678 0.075282
13.8191 0.0749935
14.0704 0.0746984
14.3216 0.0743965
14.5729 0.0740877
14.8241 0.073772
15.0754 0.0734491
15.3266 0.0731192
15.5779 0.0727819
15.8291 0.0724372
16.0804 0.0720849
16.3317 0.071725
16.5829 0.0713572
16.8342 0.0709814
17.0854 0.0705976
17.3367 0.0702054
17.5879 0.0698048
17.8392 0.0693956
18.0905 0.0689776
18.3417 0.0685506
18.593 0.0681145
18.8442 0.0676689
19.0955 0.0672138
19.3467 0.0667488
19.598 0.0662738
19.8492 0.0657885
20.1005 0.0652927
20.3518 0.0647861
20.603 0.0642685
20.8543 0.0637396
21.1055 0.063199
21.3568 0.0626465
21.608 0.0620818
21.8593 0.0615046
22.1106 0.0609146
22.3618 0.0603114
22.6131 0.0596946
22.8643 0.059064
23.1156 0.0584192
23.3668 0.0577598
23.6181 0.0570855
23.8693 0.0563959
24.1206 0.0556906
24.3719 0.0549693
24.6231 0.0542317
24.8744 0.0534773
25.1256 0.0527059
25.3769 0.0519171
25.6281 0.0511106
25.8794 0.0502863
26.1307 0.0494437
26.3819 0.0485829
26.6332 0.0477036
26.8844 0.0468056
27.1357 0.0458891
27.3869 0.0449541
27.6382 0.0440006
27.8894 0.043029
28.1407 0.0420395
28.392 0.0410327
28.6432 0.0400091
28.8945 0.0389693
29.1457 0.0379144
29.397 0.0368452
29.6482 0.035763
29.8995 0.0346692
30.1508 0.0335652
30.402 0.0324528
30.6533 0.0313337
30.9045 0.0302101
31.1558 0.0290841
31.407 0.0279581
31.6583 0.0268344
31.9095 0.0257155
32.1608 0.0246043
32.4121 0.0235031
32.6633 0.0224148
32.9146 0.021342
33.1658 0.0202872
33.4171 0.0192529
33.6683 0.0182417
33.9196 0.0172555
34.1709 0.0162966
34.4221 0.0153668
34.6734 0.0144675
34.9246 0.0136003
35.1759 0.0127663
35.4271 0.0119662
35.6784 0.0112007
35.9296 0.0104701
36.1809 0.00977457
36.4322 0.00911399
36.6834 0.00848801
36.9347 0.00789613
37.1859 0.00733765
37.4372 0.00681175
37.6884 0.00631747
37.9397 0.00585373
38.191 0.0054194
38.4422 0.00501327
38.6935 0.00463408
38.9447 0.00428054
39.196 0.00395137
39.4472 0.00364526
39.6985 0.00336093
39.9497 0.00309713
40.201 0.00285261
40.4523 0.00262618
40.7035 0.00241668
40.9548 0.00222302
41.206 0.00204412
41.4573 0.00187897
41.7085 0.00172663
41.9598 0.00158617
42.2111 0.00145674
42.4623 0.00133754
42.7136 0.00122781
42.9648 0.00112684
43.2161 0.00103398
43.4673 0.000948589
43.7186 0.000870107
43.9698 0.000797995
44.2211 0.000731754
44.4724 0.000670922
44.7236 0.000615073
44.9749 0.000563808
45.2261 0.000516763
45.4774 0.000473596
45.7286 0.000433997
45.9799 0.000397675
46.2312 0.000364365
46.4824 0.000333822
46.7337 0.000305818
46.9849 0.000280146
47.2362 0.000256614
47.4874 0.000235047
47.7387 0.000215281
47.9899 0.000197168
48.2412 0.000180571
48.4925 0.000165365
48.7437 0.000151433
48.995 0.00013867
49.2462 0.000126979
49.4975 0.000116269
49.7487 0.000106459
50 9.74748e-05
