# b[GeV^-1] TA(b)
0 0.0110785
0.251256 0.0110785
0.502513 0.0110785
0.753769 0.0110785
1.00503 0.0110785
1.25628 0.0103274
1.50754 0.0103274
1.75879 0.00995187
2.01005 0.00995187
2.26131 0.00920079
2.51256 0.00882525
2.76382 0.00882525
3.01508 0.00769862
3.26633 0.00694753
3.51759 0.00657199
3.76884 0.00544536
4.0201 0.00356765
4.27136 0
4.52261 0
4.77387 0
5.02513 0
5.27638 0
5.52764 0
5.77889 0
6.03015 0
6.28141 0
6.53266 0
6.78392 0
7.03518 0
7.28643 0
7.53769 0
7.78894 0
8.0402 0
8.29146 0
8.54271 0
8.79397 0
9.04523 0
9.29648 0
9.54774 0
9.79899 0
10.0503 0
10.3015 0
10.5528 0
10.804 0
11.0553 0
11.3065 0
11.5578 0
11.809 0
12.0603 0
12.3116 0
12.5628 0
12.8141 0
13.0653 0
13.3166 0
13.5678 0
13.8191 0
14.0704 0
14.3216 0
14.5729 0
14.8241 0
15.0754 0
15.3266 0
15.5779 0
15.8291 0
16.0804 0
16.3317 0
16.5829 0
16.8342 0
17.0854 0
17.3367 0
17.5879 0
17.8392 0
18.0905 0
18.3417 0
18.593 0
18.8442 0
19.0955 0
19.3467 0
19.598 0
19.8492 0
20.1005 0
20.3518 0
20.603 0
20.8543 0
21.1055 0
21.3568 0
21.608 0
21.8593 0
22.1106 0
22.3618 0
22.6131 0
22.8643 0
23.1156 0
23.3668 0
23.6181 0
23.8693 0
24.1206 0
24.3719 0
24.6231 0
24.8744 0
25.1256 0
25.3769 0
25.6281 0
25.8794 0
26.1307 0
26.3819 0
26.6332 0
26.8844 0
27.1357 0
27.3869 0
27.6382 0
27.8894 0
28.1407 0
28.392 0
28.6432 0
28.8945 0
29.1457 0
29.397 0
29.6482 0
29.8995 0
30.1508 0
30.402 0
30.6533 0
30.9045 0
31.1558 0
31.407 0
31.6583 0
31.9095 0
32.1608 0
32.4121 0
32.6633 0
32.9146 0
33.1658 0
33.4171 0
33.6683 0
33.9196 0
34.1709 0
34.4221 0
34.6734 0
34.9246 0
35.1759 0
35.4271 0
35.6784 0
35.9296 0
36.1809 0
36.4322 0
36.6834 0
36.9347 0
37.1859 0
37.4372 0
37.6884 0
37.9397 0
38.191 0
38.4422 0
38.6935 0
38.9447 0
39.196 0
39.4472 0
39.6985 0
39.9497 0
40.201 0
40.4523 0
40.7035 0
40.9548 0
41.206 0
41.4573 0
41.7085 0
41.9598 0
42.2111 0
42.4623 0
42.7136 0
42.9648 0
43.2161 0
43.4673 0
43.7186 0
43.9698 0
44.2211 0
44.4724 0
44.7236 0
44.9749 0
45.2261 0
45.4774 0
45.7286 0
45.9799 0
46.2312 0
46.4824 0
46.7337 0
46.9849 0
47.2362 0
47.4874 0
47.7387 0
47.9899 0
48.2412 0
48.4925 0
48.7437 0
48.995 0
49.2462 0
49.4975 0
49.7487 0
50 0
