#: table_doi: 10.17182/hepdata.156183.v1/t1
#: name: Table 1
#: description: The differential coherent $\phi$ photoproduction cross section and the nuclear suppression factor as a function of rapidity.
#: data_file: table_1.yaml
#: keyword observables: DSIG/DY | S
#: keyword cmenergies: 5360
#: keyword reactions: Pb Pb --> Phi Pb Pb
#: keyword phrases: Phi | Photoproduction | Suppression | Nuclear Shadowing | Cross Section
#: SQRT(S)/NUCLEON [GeV],,,5360
#: RE,,,PB PB -> PHI <K+ K-> PB PB
#: ABS(Y),,,0.3 - 1.0
#: KAON ABS(ETA),,,0.0 - 2.4
|$y$|,|$y$| LOW,|$y$| HIGH,$\frac{d\sigma_{\phi}}{d|y|}$ [mb],stat +,stat -,syst +,syst -
0.35,0.3,0.4,43.0,1.8,-1.8,3.4,-3.4
0.45,0.4,0.5,44.6,1.5,-1.5,3.2,-3.2
0.55,0.5,0.6,45.6,1.2,-1.2,3.2,-3.2
0.6499999999999999,0.6,0.7,45.3,1.1,-1.1,2.9,-2.9
0.75,0.7,0.8,43.7,1.1,-1.1,3.1,-3.1
0.8500000000000001,0.8,0.9,44.3,1.2,-1.2,3.5,-3.5
0.95,0.9,1.0,42.2,1.7,-1.7,4.0,-4.0



